-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.240us         0.00%       2.240us       2.240us           0 B           0 B           0 B           0 B             1  
                                              aten::add         0.01%      40.579us         0.02%      89.631us      29.877us       2.144us         0.00%       4.288us       1.429us           0 B           0 B       1.00 KB       1.00 KB             3  
                                           aten::gather         0.00%      16.642us         0.01%      26.851us      26.851us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                                           _C::rms_norm         0.00%      16.662us         0.01%      25.669us      25.669us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.696us         0.00%       1.696us       1.696us           0 B           0 B           0 B           0 B             1  
                                 aten::_index_put_impl_         0.01%      27.311us         0.03%     121.419us     121.419us       1.632us         0.00%       5.856us       5.856us           0 B           0 B           0 B      -1.00 KB             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.00%       1.632us       1.632us           0 B           0 B           0 B           0 B             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       1.536us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184us         0.00%       1.184us       1.184us           0 B           0 B           0 B           0 B             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.024us         0.00%       1.024us       1.024us           0 B           0 B           0 B           0 B             1  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.960us         0.00%       0.960us       0.960us           0 B           0 B           0 B           0 B             1  
                                              aten::sub         0.01%      33.373us         0.02%      58.300us      58.300us       0.896us         0.00%       1.792us       1.792us           0 B           0 B         512 B         512 B             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.896us         0.00%       0.896us       0.896us           0 B           0 B           0 B           0 B             1  
                                            aten::fill_         0.01%      25.709us         0.01%      52.740us       8.790us       0.800us         0.00%       0.800us       0.133us           0 B           0 B           0 B           0 B             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.800us         0.00%       0.800us       0.800us           0 B           0 B           0 B           0 B             1  
                  execute_context_1(28)_generation_0(0)        74.39%     266.740ms        90.72%     325.266ms     325.266ms       0.000us         0.00%      58.322ms      58.322ms           0 B          -1 B     295.50 KB     -31.74 MB             1  
                                Activity Buffer Request         0.61%       2.203ms         0.61%       2.203ms       2.203ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                   cudaEventSynchronize         9.16%      32.839ms         9.16%      32.839ms      10.946ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                            aten::empty         0.35%       1.259ms         0.36%       1.293ms       3.315us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     154.52 MB     154.52 MB           390  
                                          cudaHostAlloc         0.01%      32.021us         0.01%      32.021us      32.021us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.01%      29.125us         0.10%     345.874us       6.782us       0.000us         0.00%      12.705us       0.249us           0 B           0 B     129.00 KB           0 B            51  
                                       aten::lift_fresh         0.00%       2.355us         0.00%       2.355us       0.336us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                          aten::detach_         0.00%       1.785us         0.00%       1.785us       0.446us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
