-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
phase7_attention_step=1;layer=model.layers.4.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.896us         0.02%     112.896us     112.896us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.21.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.831us         0.02%     112.831us     112.831us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.18.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.799us         0.02%     112.799us     112.799us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.11.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.768us         0.02%     112.768us     112.768us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.15.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.736us         0.02%     112.736us     112.736us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.24.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.735us         0.02%     112.735us     112.735us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.8.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.703us         0.02%     112.703us     112.703us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.12.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.640us         0.02%     112.640us     112.640us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.16.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.576us         0.02%     112.576us     112.576us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.27.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.415us         0.02%     112.415us     112.415us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.31.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     112.415us         0.02%     112.415us     112.415us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.3.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.224us         0.02%     112.224us     112.224us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.7.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.128us         0.02%     112.128us     112.128us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.23.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.839us         0.02%     111.839us     111.839us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.14.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.775us         0.02%     111.775us     111.775us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.20.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.775us         0.02%     111.775us     111.775us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.5.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.584us         0.02%     111.584us     111.584us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.13.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.423us         0.02%     111.423us     111.423us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.6.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.391us         0.02%     111.391us     111.391us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.17.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.296us         0.02%     111.296us     111.296us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.9.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.264us         0.02%     111.264us     111.264us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.2.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.263us         0.02%     111.263us     111.263us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.19.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     111.200us         0.02%     111.200us     111.200us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=1;layer=model.layers.29.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us     110.975us         0.02%     110.975us     110.975us           0 B           0 B           0 B           0 B             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      95.012us         0.02%      95.012us       0.742us           0 B           0 B           0 B           0 B           128  
                                   _moe_C::topk_softmax         0.04%     323.083us         0.12%     890.311us      13.911us      94.073us         0.02%      94.073us       1.470us           0 B           0 B           0 B           0 B            64  
void vllm::moe::topkGating<8, 8, 4, 16, 32, int, __n...         0.00%       0.000us         0.00%       0.000us       0.000us      94.073us         0.02%      94.073us       1.470us           0 B           0 B           0 B           0 B            64  
tensorrt_llm::kernels::cutlass_kernels::mergeExpertP...         0.00%       0.000us         0.00%       0.000us       0.000us      83.585us         0.02%      83.585us       1.306us           0 B           0 B           0 B           0 B            64  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      81.470us         0.02%      81.470us       1.273us           0 B           0 B           0 B           0 B            64  
void tensorrt_llm::kernels::cutlass_kernels::blockEx...         0.00%       0.000us         0.00%       0.000us       0.000us      74.204us         0.02%      74.204us       1.159us           0 B           0 B           0 B           0 B            64  
void tensorrt_llm::kernels::cutlass_kernels::globalE...         0.00%       0.000us         0.00%       0.000us       0.000us      73.147us         0.02%      73.147us       1.143us           0 B           0 B           0 B           0 B            64  
                                  Lazy Function Loading         0.04%     283.358us         0.04%     283.358us      40.480us      56.351us         0.01%      56.351us       8.050us           0 B           0 B           0 B           0 B             7  
phase7_attention_step=0;layer=model.layers.2.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.207us         0.01%      54.207us      54.207us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.4.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.016us         0.01%      54.016us      54.016us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.24.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.760us         0.01%      53.760us      53.760us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.22.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.664us         0.01%      53.664us      53.664us           0 B           0 B           0 B           0 B             1  
