-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     519.328ms       225.47%     519.328ms     259.664ms           0 B           0 B           0 B           0 B             2  
                                      vllm::moe_forward         2.94%      18.397ms         4.48%      28.093ms     292.632us     219.972ms        95.50%     220.244ms       2.294ms           0 B           0 B     128.25 MB      -2.63 GB            96  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     166.140ms        72.13%     166.140ms       1.731ms           0 B           0 B           0 B           0 B            96  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     104.975ms        45.58%     104.975ms     104.975ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      53.026ms        23.02%      53.026ms     552.358us           0 B           0 B           0 B           0 B            96  
                                               aten::mm         0.93%       5.841ms         1.38%       8.660ms      29.761us       7.851ms         3.41%       7.851ms      26.979us           0 B           0 B     385.07 MB     385.07 MB           291  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.015ms         1.31%       3.015ms      47.108us           0 B           0 B           0 B           0 B            64  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       2.083ms         0.90%       2.083ms      32.544us           0 B           0 B           0 B           0 B            64  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.051ms         0.46%       1.051ms      32.859us           0 B           0 B           0 B           0 B            32  
