-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::index         0.01%       2.691ms         0.02%       6.456ms      33.623us     743.813us         0.00%     917.574us       4.779us           0 B           0 B     831.50 KB     783.50 KB           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     655.494us         0.00%     655.494us       1.366us           0 B           0 B           0 B           0 B           480  
                                           aten::argmax         0.00%     991.647us         0.00%       1.512ms      15.751us     645.091us         0.00%     645.091us       6.720us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     645.091us         0.00%     645.091us       6.720us           0 B           0 B           0 B           0 B            96  
                                  Lazy Function Loading         0.00%     408.060us         0.00%     408.060us      40.806us     555.428us         0.00%     555.428us      55.543us           0 B           0 B           0 B           0 B            10  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     530.243us         0.00%     530.243us       5.523us           0 B           0 B           0 B           0 B            96  
                                   cudaEventSynchronize         3.15%        1.085s         3.15%        1.085s       5.680ms     529.604us         0.00%     529.604us       2.773us           0 B           0 B           0 B           0 B           191  
                       Runtime Triggered Module Loading         0.36%     124.172ms         0.36%     124.172ms      62.086ms     526.051us         0.00%     526.051us     263.026us           0 B           0 B           0 B           0 B             2  
                                       cuLaunchKernelEx         0.00%     627.897us         0.00%     627.897us       6.541us     489.027us         0.00%     489.027us       5.094us           0 B           0 B           0 B           0 B            96  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     403.013us         0.00%     403.013us      12.594us           0 B           0 B           0 B           0 B            32  
