completed_at_utc	experiment_id	runtime_class	run_dir	status
2026-08-11T14:48:38.548912+00:00	CTRL-PX0-16384x1024-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T144744Z__CTRL-PX0-16384x1024-telemetry	PASS
2026-08-11T14:50:00.054750+00:00	CTRL-PX0-28672x32-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T144838Z__CTRL-PX0-28672x32-clean	PASS
2026-08-11T14:50:40.806290+00:00	CTRL-PX0-28672x32-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145000Z__CTRL-PX0-28672x32-routing	PASS
2026-08-11T14:51:21.294002+00:00	CTRL-PX0-28672x32-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145040Z__CTRL-PX0-28672x32-telemetry	PASS
2026-08-11T14:53:00.828635+00:00	CTRL-PX0-28672x256-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145121Z__CTRL-PX0-28672x256-clean	PASS
2026-08-11T14:53:46.183454+00:00	CTRL-PX0-28672x256-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145300Z__CTRL-PX0-28672x256-routing	PASS
2026-08-11T14:54:31.424240+00:00	CTRL-PX0-28672x256-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145346Z__CTRL-PX0-28672x256-telemetry	PASS
2026-08-11T14:57:13.689967+00:00	CTRL-PX0-28672x1024-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145431Z__CTRL-PX0-28672x1024-clean	PASS
2026-08-11T14:58:14.830632+00:00	CTRL-PX0-28672x1024-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145713Z__CTRL-PX0-28672x1024-routing	PASS
2026-08-11T14:59:15.269517+00:00	CTRL-PX0-28672x1024-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145814Z__CTRL-PX0-28672x1024-telemetry	PASS
2026-08-11T15:06:03.364736+00:00	CTRL-CE0-28672x4096-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T145915Z__CTRL-CE0-28672x4096-clean	PASS
2026-08-11T15:08:06.412267+00:00	CTRL-CE0-28672x4096-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T150603Z__CTRL-CE0-28672x4096-routing	PASS
2026-08-11T15:10:08.032498+00:00	CTRL-CE0-28672x4096-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T150806Z__CTRL-CE0-28672x4096-telemetry	PASS
2026-08-11T15:14:14.090308+00:00	CTRL-CE1-30720x2048-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T151008Z__CTRL-CE1-30720x2048-clean	PASS
2026-08-11T15:15:38.444336+00:00	CTRL-CE1-30720x2048-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T151414Z__CTRL-CE1-30720x2048-routing	PASS
2026-08-11T15:17:00.167878+00:00	CTRL-CE1-30720x2048-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T151538Z__CTRL-CE1-30720x2048-telemetry	PASS
2026-08-11T15:19:47.564097+00:00	CTRL-CE2-31744x1024-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T151700Z__CTRL-CE2-31744x1024-clean	PASS
2026-08-11T15:20:50.026083+00:00	CTRL-CE2-31744x1024-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T151947Z__CTRL-CE2-31744x1024-routing	PASS
2026-08-11T15:21:52.020419+00:00	CTRL-CE2-31744x1024-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T152050Z__CTRL-CE2-31744x1024-telemetry	PASS
2026-08-11T15:23:59.026846+00:00	CTRL-CE3-32256x512-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T152152Z__CTRL-CE3-32256x512-clean	PASS
2026-08-11T15:24:51.751967+00:00	CTRL-CE3-32256x512-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T152359Z__CTRL-CE3-32256x512-routing	PASS
2026-08-11T15:25:43.845991+00:00	CTRL-CE3-32256x512-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T152451Z__CTRL-CE3-32256x512-telemetry	PASS
