-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     512.144us         0.06%     512.144us       1.287us           0 B           0 B           0 B           0 B           398  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     420.851us         0.05%     420.851us       1.644us           0 B           0 B           0 B           0 B           256  
                                   _moe_C::topk_softmax         0.12%       1.500ms         0.33%       4.218ms      14.646us     411.607us         0.05%     411.607us       1.429us           0 B           0 B           0 B           0 B           288  
void vllm::moe::topkGating<8, 8, 4, 16, 32, int, __n...         0.00%       0.000us         0.00%       0.000us       0.000us     411.607us         0.05%     411.607us       1.429us           0 B           0 B           0 B           0 B           288  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     368.410us         0.04%     368.410us       0.720us           0 B           0 B           0 B           0 B           512  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us     317.919us         0.04%     317.919us       1.242us           0 B           0 B           0 B           0 B           256  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     311.710us         0.04%     311.710us       1.218us           0 B           0 B           0 B           0 B           256  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     291.740us         0.03%     291.740us       9.117us           0 B           0 B           0 B           0 B            32  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     159.260us         0.02%     159.260us       4.977us           0 B           0 B           0 B           0 B            32  
phase7_attention_step=8;layer=model.layers.1.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      77.471us         0.01%      77.471us      77.471us           0 B           0 B           0 B           0 B             1  
                                            aten::index         0.03%     322.965us         0.06%     798.766us      44.376us      73.248us         0.01%      91.393us       5.077us           0 B           0 B      80.50 KB      76.00 KB            18  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      62.721us         0.01%      62.721us       1.394us           0 B           0 B           0 B           0 B            45  
                                           aten::argmax         0.01%     181.092us         0.02%     271.722us      30.191us      60.000us         0.01%      60.000us       6.667us           0 B           0 B       4.50 KB       4.50 KB             9  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.01%      60.000us       6.667us           0 B           0 B           0 B           0 B             9  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      55.040us         0.01%      55.040us       0.754us           0 B           0 B           0 B           0 B            73  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.727us         0.01%      49.727us       5.525us           0 B           0 B           0 B           0 B             9  
phase7_attention_step=7;layer=model.layers.0.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.183us         0.01%      45.183us      45.183us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.7.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.992us         0.01%      44.992us      44.992us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.27.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.992us         0.01%      44.992us      44.992us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.30.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.608us         0.01%      44.608us      44.608us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.1.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.544us         0.01%      44.544us      44.544us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.22.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.543us         0.01%      44.543us      44.543us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.31.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.384us         0.01%      44.384us      44.384us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.21.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.383us         0.01%      44.383us      44.383us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.17.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.319us         0.01%      44.319us      44.319us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.18.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.319us         0.01%      44.319us      44.319us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.28.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.224us         0.01%      44.224us      44.224us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.11.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.192us         0.01%      44.192us      44.192us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.20.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.191us         0.01%      44.191us      44.191us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.23.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.191us         0.01%      44.191us      44.191us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.12.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.159us         0.01%      44.159us      44.159us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.25.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.031us         0.01%      44.031us      44.031us           0 B           0 B           0 B           0 B             1  
