-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaEventRecord         0.00%      21.822us         0.00%      21.822us       1.818us      47.681us         0.01%      47.681us       3.973us           0 B           0 B           0 B           0 B            12  
                                            aten::index         0.02%     174.999us         0.05%     456.907us      45.691us      40.001us         0.01%      51.009us       5.101us           0 B           0 B      44.50 KB      42.00 KB            10  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us      38.047us         0.01%      38.047us       1.189us           0 B           0 B           0 B           0 B            32  
                                  Lazy Function Loading         0.04%     342.767us         0.04%     342.767us      34.277us      35.488us         0.01%      35.488us       3.549us           0 B           0 B           0 B           0 B            10  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      35.104us         0.01%      35.104us       1.404us           0 B           0 B           0 B           0 B            25  
                                           aten::argmax         0.01%      64.584us         0.01%      98.469us      19.694us      33.665us         0.01%      33.665us       6.733us           0 B           0 B       2.50 KB       2.50 KB             5  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      33.665us         0.01%      33.665us       6.733us           0 B           0 B           0 B           0 B             5  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.745us         0.01%      27.745us       0.677us           0 B           0 B           0 B           0 B            41  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.457us         0.01%      27.457us       5.491us           0 B           0 B           0 B           0 B             5  
                       Runtime Triggered Module Loading        14.27%     120.948ms        14.27%     120.948ms      60.474ms      18.400us         0.00%      18.400us       9.200us           0 B           0 B           0 B           0 B             2  
                                           _C::rms_norm         0.01%      45.886us         0.01%      88.018us      17.604us      13.888us         0.00%      13.888us       2.778us           0 B           0 B           0 B           0 B             5  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      13.888us         0.00%      13.888us       2.778us           0 B           0 B           0 B           0 B             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.544us         0.00%      12.544us       2.509us           0 B           0 B           0 B           0 B             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      11.520us         0.00%      11.520us       2.304us           0 B           0 B           0 B           0 B             5  
                                              aten::add         0.01%     113.567us         0.02%     203.811us      13.587us      10.944us         0.00%      13.088us       0.873us           0 B           0 B      11.00 KB      11.00 KB            15  
                                 aten::_index_put_impl_         0.01%      84.093us         0.64%       5.415ms       1.083ms      10.752us         0.00%      28.128us       5.626us           0 B           0 B           0 B      -5.00 KB             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.752us         0.00%      10.752us       2.150us           0 B           0 B           0 B           0 B             5  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.568us         0.00%       9.568us       1.914us           0 B           0 B           0 B           0 B             5  
                                           aten::gather         0.01%      54.081us         0.01%      90.814us      22.703us       6.848us         0.00%       6.848us       1.712us           0 B           0 B           0 B           0 B             4  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       6.848us         0.00%       6.848us       1.712us           0 B           0 B           0 B           0 B             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.792us         0.00%       5.792us       1.158us           0 B           0 B           0 B           0 B             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.216us         0.00%       5.216us       1.043us           0 B           0 B           0 B           0 B             5  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.152us         0.00%       5.152us       1.030us           0 B           0 B           0 B           0 B             5  
                                              aten::sub         0.01%      79.373us         0.02%     145.380us      29.076us       4.416us         0.00%       5.312us       1.062us           0 B           0 B       2.50 KB       2.50 KB             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.416us         0.00%       4.416us       0.883us           0 B           0 B           0 B           0 B             5  
                                            aten::fill_         0.01%      96.284us         0.02%     170.658us       5.689us       3.871us         0.00%       3.871us       0.129us           0 B           0 B           0 B           0 B            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.871us         0.00%       3.871us       0.774us           0 B           0 B           0 B           0 B             5  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.360us         0.00%       3.360us       0.672us           0 B           0 B           0 B           0 B             5  
                                     aten::index_select         0.01%      87.977us         0.03%     236.883us      23.688us       1.536us         0.00%       8.384us       0.838us           0 B           0 B       8.01 MB           0 B            10  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       1.536us           0 B           0 B           0 B           0 B             1  
                                    cudaStreamWaitEvent         0.00%       7.455us         0.00%       7.455us       1.491us       1.503us         0.00%       1.503us       0.301us           0 B           0 B           0 B           0 B             5  
                 execute_context_1(256)_generation_0(0)        34.41%     291.714ms        49.48%     419.433ms     104.858ms       0.000us         0.00%     428.246ms     107.061ms           0 B          -4 B       8.28 MB      -1.26 GB             4  
                                Activity Buffer Request         0.20%       1.669ms         0.20%       1.669ms       1.669ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                   cudaEventSynchronize        24.61%     208.635ms        24.61%     208.635ms      17.386ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                            aten::empty         0.72%       6.108ms         0.72%       6.133ms       3.070us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       5.53 GB       5.53 GB          1998  
                                          cudaHostAlloc         0.01%      54.344us         0.01%      54.344us      18.115us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.01%     117.834us         0.73%       6.175ms      27.689us       0.000us         0.00%      58.976us       0.264us           0 B           0 B     653.00 KB           0 B           223  
                                       aten::lift_fresh         0.00%       4.339us         0.00%       4.339us       0.228us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            19  
                                          aten::detach_         0.00%       1.203us         0.00%       1.203us       0.301us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         aten::_to_copy         0.01%     117.275us         0.71%       6.057ms     137.656us       0.000us         0.00%      58.976us       1.340us           0 B           0 B     653.00 KB           0 B            44  
                                    aten::empty_strided         0.19%       1.641ms         0.20%       1.681ms       4.245us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     257.22 MB     257.22 MB           396  
                                  cudaStreamIsCapturing         0.00%      35.766us         0.00%      35.766us       0.568us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            63  
                                        cudaMemcpyAsync         0.25%       2.136ms         0.25%       2.136ms       8.577us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           249  
                               cudaEventRecordWithFlags         0.00%      18.405us         0.00%      18.405us       1.534us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                         cudaEventQuery         0.00%      10.350us         0.00%      10.350us       1.479us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                            aten::slice         0.14%       1.161ms         0.18%       1.529ms       1.295us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1181  
                                       aten::as_strided         0.17%       1.465ms         0.17%       1.465ms       0.435us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3368  
                                          aten::flatten         0.01%     101.062us         0.01%     116.150us       0.357us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           325  
                                             aten::view         0.14%       1.192ms         0.14%       1.192ms       0.539us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2210  
                                           aten::detach         0.00%      14.938us         0.00%      14.938us       1.494us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            10  
                                     aten::resolve_conj         0.00%       5.350us         0.00%       5.350us       0.357us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            15  
                                      aten::resolve_neg         0.00%       2.063us         0.00%       2.063us       0.138us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            15  
                                       cudaLaunchKernel         1.13%       9.539ms         1.75%      14.807ms      10.100us       0.000us         0.00%      19.712us       0.013us           0 B           0 B           0 B           0 B          1466  
                                          aten::reshape         0.05%     424.230us         0.08%     637.763us       1.363us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           468  
                                       cuLaunchKernelEx         0.01%      53.072us         0.01%      53.072us      10.614us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                               aten::lt         0.01%      49.144us         0.01%      49.144us       9.829us       0.000us         0.00%       0.000us       0.000us           5 B           5 B           0 B           0 B             5  
