-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     512.462us         0.06%     512.462us       1.288us           0 B           0 B           0 B           0 B           398  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     420.249us         0.05%     420.249us       1.642us           0 B           0 B           0 B           0 B           256  
                                   _moe_C::topk_softmax         0.12%       1.441ms         0.32%       4.017ms      13.947us     411.165us         0.05%     411.165us       1.428us           0 B           0 B           0 B           0 B           288  
void vllm::moe::topkGating<8, 8, 4, 16, 32, int, __n...         0.00%       0.000us         0.00%       0.000us       0.000us     411.165us         0.05%     411.165us       1.428us           0 B           0 B           0 B           0 B           288  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     364.931us         0.04%     364.931us       0.713us           0 B           0 B           0 B           0 B           512  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us     317.211us         0.04%     317.211us       1.239us           0 B           0 B           0 B           0 B           256  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     311.642us         0.04%     311.642us       1.217us           0 B           0 B           0 B           0 B           256  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     291.869us         0.03%     291.869us       9.121us           0 B           0 B           0 B           0 B            32  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     159.614us         0.02%     159.614us       4.988us           0 B           0 B           0 B           0 B            32  
                                            aten::index         0.03%     324.972us         0.06%     790.498us      43.917us      72.478us         0.01%      90.814us       5.045us           0 B           0 B      80.50 KB      76.00 KB            18  
phase7_attention_step=8;layer=model.layers.1.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.536us         0.01%      65.536us      65.536us           0 B           0 B           0 B           0 B             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      63.170us         0.01%      63.170us       1.404us           0 B           0 B           0 B           0 B            45  
                                           aten::argmax         0.02%     223.793us         0.03%     329.886us      36.654us      60.064us         0.01%      60.064us       6.674us           0 B           0 B       4.50 KB       4.50 KB             9  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      60.064us         0.01%      60.064us       6.674us           0 B           0 B           0 B           0 B             9  
