-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full         3.92%     290.276ms         3.92%     290.276ms       1.561ms       2.468ms         0.03%       2.468ms      13.267us           0 B           0 B           0 B           0 B           186  
                                  Lazy Function Loading         0.01%     518.545us         0.01%     518.545us      43.212us       1.845ms         0.03%       1.845ms     153.737us           0 B           0 B           0 B           0 B            12  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.105ms         0.02%       1.105ms      34.534us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     786.968us         0.01%     786.968us      24.593us           0 B           0 B           0 B           0 B            32  
                                            aten::index         0.02%       1.751ms         0.06%       4.334ms      33.860us     530.136us         0.01%     646.481us       5.051us           0 B           0 B     575.50 KB     543.50 KB           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     446.304us         0.01%     446.304us       1.395us           0 B           0 B           0 B           0 B           320  
                                           aten::argmax         0.01%     686.315us         0.01%       1.039ms      16.240us     427.805us         0.01%     427.805us       6.684us           0 B           0 B      32.00 KB      32.00 KB            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     427.805us         0.01%     427.805us       6.684us           0 B           0 B           0 B           0 B            64  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     397.527us         0.01%     397.527us       0.773us           0 B           0 B           0 B           0 B           514  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     351.928us         0.00%     351.928us       5.499us           0 B           0 B           0 B           0 B            64  
                                   cudaEventSynchronize        66.94%        4.963s        66.94%        4.963s      39.077ms     351.352us         0.00%     351.352us       2.767us           0 B           0 B           0 B           0 B           127  
                                           _C::rms_norm         0.01%     415.368us         0.01%     857.805us      13.403us     190.750us         0.00%     190.750us       2.980us           0 B           0 B           0 B           0 B            64  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     190.750us         0.00%     190.750us       2.980us           0 B           0 B           0 B           0 B            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     178.208us         0.00%     178.208us       2.785us           0 B           0 B           0 B           0 B            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     149.595us         0.00%     149.595us       2.337us           0 B           0 B           0 B           0 B            64  
                                 aten::_index_put_impl_         0.01%     885.714us         2.15%     159.548ms       2.493ms     144.001us         0.00%     389.994us       6.094us           0 B           0 B           0 B     -64.00 KB            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     144.001us         0.00%     144.001us       2.250us           0 B           0 B           0 B           0 B            64  
                                              aten::add         0.01%       1.076ms         0.02%       1.819ms       9.474us     138.625us         0.00%     140.769us       0.733us           0 B           0 B     159.00 KB     159.00 KB           192  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     121.339us         0.00%     121.339us       1.896us           0 B           0 B           0 B           0 B            64  
                                           aten::gather         0.01%     567.701us         0.01%       1.034ms      16.161us     109.054us         0.00%     109.054us       1.704us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     109.054us         0.00%     109.054us       1.704us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      74.397us         0.00%      74.397us       1.162us           0 B           0 B           0 B           0 B            64  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      72.127us         0.00%      72.127us       2.254us           0 B           0 B           0 B           0 B            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      66.622us         0.00%      66.622us       1.041us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.228us         0.00%      64.228us       1.004us           0 B           0 B           0 B           0 B            64  
                                              aten::sub         0.01%     626.200us         0.02%       1.149ms      17.947us      57.248us         0.00%      58.144us       0.908us           0 B           0 B      32.00 KB      32.00 KB            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      57.248us         0.00%      57.248us       0.894us           0 B           0 B           0 B           0 B            64  
                                       cuLaunchKernelEx         0.01%     434.513us         0.01%     434.513us       6.789us      53.024us         0.00%      53.024us       0.829us           0 B           0 B           0 B           0 B            64  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      51.481us         0.00%      51.481us       0.804us           0 B           0 B           0 B           0 B            64  
                                            aten::fill_         0.01%     919.570us         0.02%       1.707ms       4.446us      49.182us         0.00%      49.182us       0.128us           0 B           0 B           0 B           0 B           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.182us         0.00%      49.182us       0.768us           0 B           0 B           0 B           0 B            64  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us      40.225us         0.00%      40.225us       1.257us           0 B           0 B           0 B           0 B            32  
                       Runtime Triggered Module Loading         0.58%      43.087ms         0.58%      43.087ms      43.087ms       8.128us         0.00%       8.128us       8.128us           0 B           0 B           0 B           0 B             1  
                                    cudaStreamWaitEvent         0.00%      71.814us         0.00%      71.814us       1.122us       4.576us         0.00%       4.576us       0.072us           0 B           0 B           0 B           0 B            64  
                 execute_context_1(256)_generation_0(0)         9.14%     677.268ms        28.28%        2.096s      33.274ms       0.000us         0.00%        7.035s     111.673ms           0 B         -63 B     130.34 MB     -19.79 GB            63  
                                            aten::empty         1.06%      78.244ms         1.06%      78.457ms       3.176us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      87.34 GB      87.34 GB         24706  
                                          cudaHostAlloc         0.00%      53.951us         0.00%      53.951us      17.984us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.02%       1.163ms         2.26%     167.410ms      60.744us       0.000us         0.00%     792.343us       0.287us           0 B           0 B       8.19 MB           0 B          2756  
                                       aten::lift_fresh         0.00%      34.250us         0.00%      34.250us       0.177us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           194  
                                          aten::detach_         0.00%       0.671us         0.00%       0.671us       0.336us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_to_copy         0.02%       1.232ms         2.24%     166.247ms     323.438us       0.000us         0.00%     792.343us       1.542us           0 B           0 B       8.19 MB           0 B           514  
                                    aten::empty_strided         0.26%      19.514ms         0.27%      19.656ms       4.264us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       3.97 GB       3.97 GB          4610  
                                        cudaMemcpyAsync         0.31%      22.732ms         0.31%      22.732ms       8.254us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2754  
                                         cudaEventQuery         0.00%     117.691us         0.00%     117.691us       0.942us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           125  
                                            aten::slice         0.21%      15.591ms         0.28%      20.700ms       1.376us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         15044  
                                       aten::as_strided         0.26%      19.447ms         0.26%      19.447ms       0.460us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         42244  
                                          aten::flatten         0.02%       1.381ms         0.02%       1.524ms       0.366us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4160  
                                             aten::view         0.21%      15.413ms         0.21%      15.413ms       0.569us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         27072  
                                     aten::index_select         0.01%     718.229us         0.03%       2.293ms      17.913us       0.000us         0.00%     109.054us       0.852us           0 B           0 B     126.68 MB           0 B           128  
                                           aten::detach         0.00%     120.877us         0.00%     120.877us       0.944us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           128  
                                     aten::resolve_conj         0.00%      47.742us         0.00%      47.742us       0.250us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           191  
                                      aten::resolve_neg         0.00%      19.311us         0.00%      19.311us       0.101us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           191  
                                       cudaLaunchKernel         1.48%     109.878ms         3.74%     277.064ms      15.800us       0.000us         0.00%       3.631ms       0.207us           0 B           0 B           0 B           0 B         17536  
                                          aten::reshape         0.04%       3.266ms         0.07%       5.176ms       1.189us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4352  
                                               aten::lt         0.00%     255.825us         0.00%     255.825us       3.997us       0.000us         0.00%       0.000us       0.000us          64 B          64 B           0 B           0 B            64  
                                        aten::embedding         0.00%      86.889us         0.03%       2.238ms      34.973us       0.000us         0.00%     109.054us       1.704us           0 B           0 B     126.68 MB           0 B            64  
                                          aten::resize_         0.00%     178.749us         0.00%     178.749us       2.793us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     126.68 MB     126.68 MB            64  
                                           aten::expand         0.10%       7.380ms         0.13%       9.380ms       1.511us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6208  
                                           aten::linear         0.17%      12.273ms         5.04%     373.310ms      60.134us       0.000us         0.00%     186.633ms      30.063us           0 B           0 B      11.88 GB           0 B          6208  
                                                aten::t         0.16%      11.991ms         0.35%      25.708ms       4.141us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6208  
