-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::argmax         0.03%     982.994us         0.04%       1.528ms      15.915us     644.995us         0.03%     644.995us       6.719us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     644.995us         0.03%     644.995us       6.719us           0 B           0 B           0 B           0 B            96  
                                  Lazy Function Loading         0.01%     352.373us         0.01%     352.373us      35.237us     554.405us         0.02%     554.405us      55.441us           0 B           0 B           0 B           0 B            10  
                                        cudaEventRecord         0.01%     283.551us         0.01%     283.551us       1.477us     543.558us         0.02%     543.558us       2.831us           0 B           0 B           0 B           0 B           192  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     532.518us         0.02%     532.518us       5.547us           0 B           0 B           0 B           0 B            96  
                                   cudaEventSynchronize         0.01%     346.560us         0.01%     346.560us       1.814us     525.351us         0.02%     525.351us       2.751us           0 B           0 B           0 B           0 B           191  
                       Runtime Triggered Module Loading         2.99%     113.471ms         2.99%     113.471ms      56.736ms     525.125us         0.02%     525.125us     262.563us           0 B           0 B           0 B           0 B             2  
                                Activity Buffer Request         0.34%      13.085ms         0.40%      15.080ms       1.885ms     507.268us         0.02%       2.176ms     272.042us           0 B           0 B      20.00 KB    -109.50 KB             8  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     401.925us         0.02%     401.925us      12.560us           0 B           0 B           0 B           0 B            32  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     222.818us         0.01%     222.818us       0.330us           0 B           0 B           0 B           0 B           675  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     222.114us         0.01%     222.114us       2.314us           0 B           0 B           0 B           0 B            96  
                                              aten::add         0.04%       1.635ms         0.07%       2.789ms       9.682us     222.081us         0.01%     224.321us       0.779us           0 B           0 B     127.50 KB     127.50 KB           288  
                                 aten::_index_put_impl_         0.03%       1.196ms         0.12%       4.547ms      47.364us     214.239us         0.01%     460.192us       4.794us           0 B           0 B           0 B     -96.00 KB            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     214.239us         0.01%     214.239us       2.232us           0 B           0 B           0 B           0 B            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     211.909us         0.01%     211.909us       2.207us           0 B           0 B           0 B           0 B            96  
                                           _C::rms_norm         0.02%     606.939us         0.03%       1.275ms      13.280us     196.995us         0.01%     196.995us       2.052us           0 B           0 B           0 B           0 B            96  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     196.995us         0.01%     196.995us       2.052us           0 B           0 B           0 B           0 B            96  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     196.742us         0.01%     196.742us       2.049us           0 B           0 B           0 B           0 B            96  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     178.210us         0.01%     178.210us       0.619us           0 B           0 B           0 B           0 B           288  
                                            aten::fill_         0.05%       1.992ms         0.17%       6.448ms       9.595us     145.848us         0.01%     146.616us       0.218us           0 B           0 B           0 B           0 B           672  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     145.848us         0.01%     145.848us       0.760us           0 B           0 B           0 B           0 B           192  
                                     aten::index_select         0.02%     926.543us         0.05%       2.056ms      10.709us     138.916us         0.01%     148.612us       0.774us           0 B           0 B      32.74 MB           0 B           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     138.916us         0.01%     138.916us       1.462us           0 B           0 B           0 B           0 B            95  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.106us         0.00%     111.106us       1.157us           0 B           0 B           0 B           0 B            96  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.975us         0.00%     110.975us       1.156us           0 B           0 B           0 B           0 B            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      99.355us         0.00%      99.355us       1.035us           0 B           0 B           0 B           0 B            96  
                                              aten::sub         0.03%     968.132us         0.04%       1.666ms      17.355us      85.406us         0.00%      86.270us       0.899us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      85.406us         0.00%      85.406us       0.890us           0 B           0 B           0 B           0 B            96  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      55.647us         0.00%      55.647us       1.739us           0 B           0 B           0 B           0 B            32  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      54.400us         0.00%      54.400us       1.700us           0 B           0 B           0 B           0 B            32  
                                  cudaStreamIsCapturing         0.02%     620.558us         0.02%     620.558us       0.430us      54.112us         0.00%      54.112us       0.038us           0 B           0 B           0 B           0 B          1442  
void tensorrt_llm::kernels::cutlass_kernels::blockEx...         0.00%       0.000us         0.00%       0.000us       0.000us      51.937us         0.00%      51.937us       1.623us           0 B           0 B           0 B           0 B            32  
void tensorrt_llm::kernels::cutlass_kernels::globalE...         0.00%       0.000us         0.00%       0.000us       0.000us      46.652us         0.00%      46.652us       1.458us           0 B           0 B           0 B           0 B            32  
tensorrt_llm::kernels::cutlass_kernels::mergeExpertP...         0.00%       0.000us         0.00%       0.000us       0.000us      41.216us         0.00%      41.216us       1.288us           0 B           0 B           0 B           0 B            32  
                                    cudaStreamWaitEvent         0.00%      96.928us         0.00%      96.928us       1.010us      39.968us         0.00%      39.968us       0.416us           0 B           0 B           0 B           0 B            96  
                                       cuLaunchKernelEx         0.02%     648.451us         0.02%     648.451us       6.755us      38.080us         0.00%      38.080us       0.397us           0 B           0 B           0 B           0 B            96  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.913us         0.00%      30.913us       0.966us           0 B           0 B           0 B           0 B            32  
                                           aten::gather         0.00%      15.949us         0.00%      26.480us      26.480us       9.696us         0.00%       9.696us       9.696us           0 B           0 B           0 B           0 B             1  
