-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.802s       108.15%        3.802s     118.801ms           0 B           0 B           0 B           0 B            32  
                                      vllm::moe_forward         5.21%     203.472ms         7.97%     311.217ms     294.713us        3.317s        94.36%        3.323s       3.147ms           0 B           0 B       2.00 GB     -41.99 GB          1056  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        2.525s        71.83%        2.525s       2.391ms           0 B           0 B           0 B           0 B          1056  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     781.831ms        22.24%     781.831ms     740.370us           0 B           0 B           0 B           0 B          1056  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     106.431ms         3.03%     106.431ms     106.431ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.67%      65.363ms         4.38%     170.966ms      53.410us      94.218ms         2.68%      95.245ms      29.755us           0 B           0 B       6.01 GB       6.01 GB          3201  
                                _vllm_fa2_C::varlen_fwd         0.24%       9.541ms         3.62%     141.408ms     133.909us      86.926ms         2.47%      87.063ms      82.446us           0 B           0 B      32.02 MB     -16.89 MB          1056  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      85.891ms         2.44%      85.891ms      83.878us           0 B           0 B           0 B           0 B          1024  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      48.306ms         1.37%      48.306ms      47.174us           0 B           0 B           0 B           0 B          1024  
