-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::argmax         0.03%     348.765us         0.04%     540.472us      16.890us     212.907us         0.04%     212.907us       6.653us           0 B           0 B      16.00 KB      16.00 KB            32  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     212.907us         0.04%     212.907us       6.653us           0 B           0 B           0 B           0 B            32  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     201.322us         0.03%     201.322us       2.097us           0 B           0 B           0 B           0 B            96  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     190.538us         0.03%     190.538us       5.954us           0 B           0 B           0 B           0 B            32  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     176.234us         0.03%     176.234us       5.507us           0 B           0 B           0 B           0 B            32  
                                  cudaStreamIsCapturing         0.01%     169.888us         0.01%     169.888us       0.476us      99.589us         0.02%      99.589us       0.279us           0 B           0 B           0 B           0 B           357  
                                  Lazy Function Loading         0.03%     362.457us         0.03%     362.457us      32.951us      77.699us         0.01%      77.699us       7.064us           0 B           0 B           0 B           0 B            11  
                                              aten::add         0.05%     591.427us         0.08%       1.001ms      10.430us      74.564us         0.01%      76.709us       0.799us           0 B           0 B      32.00 KB      32.00 KB            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      72.356us         0.01%      72.356us       2.261us           0 B           0 B           0 B           0 B            32  
                                 aten::_index_put_impl_         0.03%     396.230us         0.13%       1.596ms      49.889us      70.946us         0.01%     156.070us       4.877us           0 B           0 B           0 B     -32.00 KB            32  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      70.946us         0.01%      70.946us       2.217us           0 B           0 B           0 B           0 B            32  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      70.724us         0.01%      70.724us       2.210us           0 B           0 B           0 B           0 B            32  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      69.152us         0.01%      69.152us       0.305us           0 B           0 B           0 B           0 B           227  
                                           _C::rms_norm         0.02%     216.592us         0.03%     437.802us      13.681us      62.915us         0.01%      62.915us       1.966us           0 B           0 B           0 B           0 B            32  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      62.915us         0.01%      62.915us       1.966us           0 B           0 B           0 B           0 B            32  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      60.134us         0.01%      60.134us       1.879us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      58.466us         0.01%      58.466us       1.827us           0 B           0 B           0 B           0 B            32  
                                     aten::index_select         0.03%     375.573us         0.06%     780.339us      12.193us      44.772us         0.01%      46.724us       0.730us           0 B           0 B     472.00 KB           0 B            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      44.772us         0.01%      44.772us       1.444us           0 B           0 B           0 B           0 B            31  
                                   cudaEventSynchronize         0.01%     127.228us         0.01%     127.228us       1.957us      40.962us         0.01%      40.962us       0.630us           0 B           0 B           0 B           0 B            65  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.410us         0.01%      37.410us       1.169us           0 B           0 B           0 B           0 B            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.154us         0.01%      37.154us       1.161us           0 B           0 B           0 B           0 B            32  
                                        cudaEventRecord         0.01%      99.673us         0.01%      99.673us       1.533us      34.146us         0.01%      34.146us       0.525us           0 B           0 B           0 B           0 B            65  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      33.060us         0.01%      33.060us       1.033us           0 B           0 B           0 B           0 B            32  
                                              aten::sub         0.03%     327.121us         0.04%     570.207us      17.819us      28.513us         0.00%      29.409us       0.919us           0 B           0 B      16.00 KB      16.00 KB            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      28.513us         0.00%      28.513us       0.891us           0 B           0 B           0 B           0 B            32  
                                            aten::fill_         0.04%     471.775us         0.07%     903.225us       4.704us      24.386us         0.00%      24.386us       0.127us           0 B           0 B           0 B           0 B           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.386us         0.00%      24.386us       0.762us           0 B           0 B           0 B           0 B            32  
                                    cudaStreamWaitEvent         0.00%      37.933us         0.00%      37.933us       1.185us      23.521us         0.00%      23.521us       0.735us           0 B           0 B           0 B           0 B            32  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      12.257us         0.00%      12.257us       0.383us           0 B           0 B           0 B           0 B            32  
                       Runtime Triggered Module Loading         8.75%     111.171ms         8.75%     111.171ms      55.585ms       9.760us         0.00%       9.760us       4.880us           0 B           0 B           0 B           0 B             2  
                                           aten::gather         0.00%      14.999us         0.00%      24.809us      24.809us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.00%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                  execute_context_1(28)_generation_0(0)        21.24%     269.703ms        25.83%     328.086ms     328.086ms       0.000us         0.00%      58.329ms      58.329ms           0 B          -1 B     295.50 KB     -31.74 MB             1  
                                            aten::empty         2.99%      38.008ms         3.00%      38.038ms       3.079us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     330.10 MB     330.10 MB         12356  
                                          cudaHostAlloc         0.00%      45.408us         0.00%      45.408us      22.704us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.05%     595.890us         0.45%       5.663ms       4.092us       0.000us         0.00%     337.039us       0.244us           0 B           0 B       4.00 MB           0 B          1384  
                                       aten::lift_fresh         0.00%      18.493us         0.00%      18.493us       0.185us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           100  
                                          aten::detach_         0.00%       1.404us         0.00%       1.404us       0.351us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         aten::_to_copy         0.05%     613.424us         0.40%       5.067ms      19.490us       0.000us         0.00%     337.039us       1.296us           0 B           0 B       4.00 MB           0 B           260  
                                    aten::empty_strided         1.03%      13.110ms         1.04%      13.180ms       3.994us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      27.00 MB      27.00 MB          3300  
                                        cudaMemcpyAsync         1.61%      20.496ms         1.61%      20.496ms       8.648us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2370  
                                         cudaEventQuery         0.00%      54.917us         0.00%      54.917us       1.716us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            32  
                                            aten::slice         0.60%       7.618ms         0.80%      10.118ms       1.344us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7527  
                                       aten::as_strided         0.84%      10.615ms         0.84%      10.615ms       0.442us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         24041  
                                          aten::flatten         0.05%     671.619us         0.06%     762.135us       0.366us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2080  
                                             aten::view         0.67%       8.459ms         0.67%       8.459ms       0.484us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         17473  
                                           aten::detach         0.01%      64.820us         0.01%      64.820us       1.013us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                     aten::resolve_conj         0.00%      20.536us         0.00%      20.536us       0.214us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            96  
                                      aten::resolve_neg         0.00%       9.798us         0.00%       9.798us       0.102us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            96  
                                       cudaLaunchKernel         5.59%      71.000ms         5.60%      71.173ms       6.620us       0.000us         0.00%       6.241us       0.001us           0 B           0 B           0 B           0 B         10752  
                                          aten::reshape         0.55%       6.977ms         0.81%      10.238ms       1.435us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7136  
                                               aten::lt         0.01%     151.567us         0.01%     151.567us       4.736us       0.000us         0.00%       0.000us       0.000us          32 B          32 B           0 B           0 B            32  
                                        aten::embedding         0.01%     102.076us         0.06%     814.535us      25.454us       0.000us         0.00%      46.724us       1.460us           0 B           0 B     472.00 KB           0 B            32  
