-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::argmax         0.01%      31.161us         0.01%      46.731us      23.365us      13.312us         0.02%      13.312us       6.656us           0 B           0 B       1.00 KB       1.00 KB             2  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      13.312us         0.02%      13.312us       6.656us           0 B           0 B           0 B           0 B             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.041us         0.01%      11.041us       5.520us           0 B           0 B           0 B           0 B             2  
                       Runtime Triggered Module Loading        23.80%     111.475ms        23.80%     111.475ms      55.737ms       9.792us         0.01%       9.792us       4.896us           0 B           0 B           0 B           0 B             2  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.062us         0.01%       8.062us       0.474us           0 B           0 B           0 B           0 B            17  
                                              aten::add         0.01%      69.712us         0.03%     137.566us      22.928us       4.545us         0.01%       6.753us       1.126us           0 B           0 B       2.00 KB       2.00 KB             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.320us         0.01%       4.320us       2.160us           0 B           0 B           0 B           0 B             2  
                                 aten::_index_put_impl_         0.01%      41.682us         0.04%     170.162us      85.081us       3.841us         0.01%      10.689us       5.344us           0 B           0 B           0 B      -2.00 KB             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.841us         0.01%       3.841us       1.920us           0 B           0 B           0 B           0 B             2  
                                           _C::rms_norm         0.01%      23.997us         0.01%      41.752us      20.876us       3.840us         0.01%       3.840us       1.920us           0 B           0 B           0 B           0 B             2  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us       3.840us         0.01%       3.840us       1.920us           0 B           0 B           0 B           0 B             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.712us         0.00%       3.712us       1.856us           0 B           0 B           0 B           0 B             2  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.648us         0.00%       3.648us       1.824us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.400us         0.00%       2.400us       1.200us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.145us         0.00%       2.145us       1.073us           0 B           0 B           0 B           0 B             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.048us         0.00%       2.048us       1.024us           0 B           0 B           0 B           0 B             2  
                                           aten::gather         0.00%      15.811us         0.01%      26.041us      26.041us       1.984us         0.00%       1.984us       1.984us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.984us         0.00%       1.984us       1.984us           0 B           0 B           0 B           0 B             1  
                                              aten::sub         0.01%      49.317us         0.02%      84.175us      42.087us       1.760us         0.00%       2.624us       1.312us           0 B           0 B       1.00 KB       1.00 KB             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.760us         0.00%       1.760us       0.880us           0 B           0 B           0 B           0 B             2  
                                            aten::fill_         0.01%      45.800us         0.02%      85.327us       7.111us       1.536us         0.00%       1.536us       0.128us           0 B           0 B           0 B           0 B            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       0.768us           0 B           0 B           0 B           0 B             2  
                                     aten::index_select         0.01%      48.053us         0.02%     105.135us      26.284us       1.536us         0.00%       3.520us       0.880us           0 B           0 B     232.00 KB           0 B             4  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       1.536us           0 B           0 B           0 B           0 B             1  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       0.705us         0.00%       0.705us       0.353us           0 B           0 B           0 B           0 B             2  
                  execute_context_1(28)_generation_0(0)        58.17%     272.520ms        70.70%     331.210ms     331.210ms       0.000us         0.00%      58.334ms      58.334ms           0 B          -1 B     295.50 KB     -31.74 MB             1  
                                Activity Buffer Request         0.52%       2.448ms         0.52%       2.448ms       2.448ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                   cudaEventSynchronize         0.01%      31.971us         0.01%      31.971us       6.394us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                            aten::empty         0.50%       2.362ms         0.51%       2.391ms       3.081us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     160.18 MB     160.18 MB           776  
                                          cudaHostAlloc         0.01%      44.106us         0.01%      44.106us      22.053us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.01%      51.977us         0.12%     539.260us       5.737us       0.000us         0.00%      22.371us       0.238us           0 B           0 B     257.00 KB           0 B            94  
                                       aten::lift_fresh         0.00%       3.276us         0.00%       3.276us       0.328us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            10  
                                          aten::detach_         0.00%       1.342us         0.00%       1.342us       0.335us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         aten::_to_copy         0.01%      59.894us         0.10%     487.283us      24.364us       0.000us         0.00%      22.371us       1.119us           0 B           0 B     257.00 KB           0 B            20  
                                    aten::empty_strided         0.15%     723.068us         0.16%     742.426us       4.125us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.78 MB       7.78 MB           180  
                                  cudaStreamIsCapturing         0.00%      17.143us         0.00%      17.143us       0.635us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            27  
                                        cudaMemcpyAsync         0.23%       1.065ms         0.23%       1.065ms       8.877us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           120  
                               cudaEventRecordWithFlags         0.00%      11.984us         0.00%      11.984us       1.997us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                         cudaEventQuery         0.00%       3.677us         0.00%       3.677us       1.838us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::slice         0.11%     507.831us         0.14%     668.436us       1.401us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           477  
                                       aten::as_strided         0.14%     653.692us         0.14%     653.692us       0.460us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1421  
                                          aten::flatten         0.01%      46.073us         0.01%      55.091us       0.424us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           130  
                                             aten::view         0.11%     499.879us         0.11%     499.879us       0.514us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           973  
                                           aten::detach         0.00%       8.867us         0.00%       8.867us       2.217us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                     aten::resolve_conj         0.00%       3.034us         0.00%       3.034us       0.506us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                      aten::resolve_neg         0.00%       1.234us         0.00%       1.234us       0.206us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                       cudaLaunchKernel         0.86%       4.031ms         0.90%       4.201ms       6.864us       0.000us         0.00%       6.272us       0.010us           0 B           0 B           0 B           0 B           612  
                                          aten::reshape         0.06%     258.954us         0.08%     386.900us       1.307us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           296  
                                       cuLaunchKernelEx         0.01%      31.651us         0.01%      31.651us      15.825us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::lt         0.01%      31.873us         0.01%      31.873us      15.937us       0.000us         0.00%       0.000us       0.000us           2 B           2 B           0 B           0 B             2  
                                        cudaEventRecord         0.00%      10.119us         0.00%      10.119us       2.024us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        aten::embedding         0.00%       5.962us         0.02%     100.817us      50.409us       0.000us         0.00%       3.520us       1.760us           0 B           0 B     232.00 KB           0 B             2  
                                          aten::resize_         0.00%      10.772us         0.00%      10.772us       5.386us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     232.00 KB     232.00 KB             2  
                                           aten::expand         0.05%     237.888us         0.06%     298.560us       1.547us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           193  
                                           aten::linear         0.08%     361.028us         1.53%       7.189ms      37.056us       0.000us         0.00%       4.421ms      22.786us           0 B           0 B      18.28 MB           0 B           194  
                                                aten::t         0.08%     371.611us         0.16%     763.749us       3.937us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           194  
                                        aten::transpose         0.07%     304.980us         0.11%     518.896us       1.789us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           290  
                                           aten::matmul         0.07%     307.585us         1.29%       6.064ms      31.258us       0.000us         0.00%       4.421ms      22.786us           0 B           0 B      18.28 MB           0 B           194  
                                 cudaDeviceGetAttribute         0.03%     136.418us         0.03%     136.418us       0.388us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           352  
                                         cuLaunchKernel         0.17%     786.777us         0.17%     786.777us       6.147us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           128  
                                    cudaLaunchKernelExC         0.30%       1.402ms         0.30%       1.402ms       4.868us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                 aten::split_with_sizes         0.03%     157.816us         0.05%     217.147us       3.393us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                          vllm::unified_kv_cache_update         0.25%       1.193ms         0.59%       2.746ms      42.899us       0.000us         0.00%     129.285us       2.020us           0 B           0 B           0 B           0 B            64  
                                           aten::unbind         0.07%     331.327us         0.16%     766.892us       5.991us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           128  
                                           aten::select         0.06%     288.159us         0.09%     437.359us       1.702us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           257  
                    vllm::unified_attention_with_output         0.61%       2.881ms        25.43%     119.131ms       1.861ms       0.000us         0.00%     410.774us       6.418us           0 B           0 B           0 B    -160.00 KB            64  
                                       aten::empty_like         0.04%     189.960us         0.17%     803.846us       5.024us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.53 MB           0 B           160  
                                   cudaFuncSetAttribute         0.27%       1.259ms        24.08%     112.820ms     293.803us       0.000us         0.00%      19.584us       0.051us           0 B           0 B           0 B           0 B           384  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 468.469ms
Self CUDA time total: 75.336ms

