-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      vllm::moe_forward         4.78%      59.700ms         7.58%      94.670ms     328.716us     842.104ms        95.78%     843.269ms       2.928ms           0 B           0 B     512.25 MB     -10.51 GB           288  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     640.021ms        72.79%     640.021ms       2.222ms           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=0         0.00%       0.000us         0.00%       0.000us       0.000us     406.317ms        46.21%     406.317ms     406.317ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     199.459ms        22.69%     199.459ms     692.567us           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=6         0.00%       0.000us         0.00%       0.000us       0.000us     109.032ms        12.40%     109.032ms     109.032ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=5         0.00%       0.000us         0.00%       0.000us       0.000us     109.001ms        12.40%     109.001ms     109.001ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=3         0.00%       0.000us         0.00%       0.000us       0.000us     108.934ms        12.39%     108.934ms     108.934ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=7         0.00%       0.000us         0.00%       0.000us       0.000us     108.708ms        12.36%     108.708ms     108.708ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=4         0.00%       0.000us         0.00%       0.000us       0.000us     107.886ms        12.27%     107.886ms     107.886ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=2         0.00%       0.000us         0.00%       0.000us       0.000us     106.948ms        12.16%     106.948ms     106.948ms           0 B           0 B           0 B           0 B             1  
