-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         0.13%      10.911ms         0.15%      12.381ms       1.548ms       3.615ms         0.05%      10.404ms       1.300ms           0 B           0 B       5.99 MB     -64.04 MB             8  
                                           Buffer Flush         0.00%     334.673us         0.00%     336.646us      56.108us       3.605ms         0.05%       3.605ms     600.872us           0 B           0 B     -42.01 MB     -42.01 MB             6  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       3.562ms         0.05%       3.562ms       1.687us           0 B           0 B           0 B           0 B          2112  
                                        cudaEventRecord         0.00%     279.924us         0.00%     279.924us       1.458us       3.452ms         0.04%       3.452ms      17.980us           0 B           0 B           0 B           0 B           192  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.889ms         0.04%       2.889ms       0.717us           0 B           0 B           0 B           0 B          4032  
                                    Command Buffer Full         3.78%     314.647ms         3.78%     314.647ms       1.527ms       2.865ms         0.04%       2.865ms      13.906us           0 B           0 B           0 B           0 B           206  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.520ms         0.03%       2.520ms       1.250us           0 B           0 B           0 B           0 B          2016  
                                  Lazy Function Loading         0.01%     577.741us         0.01%     577.741us      38.516us       1.953ms         0.03%       1.953ms     130.191us           0 B           0 B           0 B           0 B            15  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.406ms         0.02%       1.406ms       1.373us           0 B           0 B           0 B           0 B          1024  
                                   cudaEventSynchronize        59.66%        4.967s        59.66%        4.967s      26.006ms       1.246ms         0.02%       1.246ms       6.524us           0 B           0 B           0 B           0 B           191  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.102ms         0.01%       1.102ms      34.439us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     787.352us         0.01%     787.352us      24.605us           0 B           0 B           0 B           0 B            32  
                                            aten::index         0.03%       2.562ms         0.08%       6.349ms      33.068us     774.420us         0.01%     949.012us       4.943us           0 B           0 B     847.50 KB     799.50 KB           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     664.344us         0.01%     664.344us       1.384us           0 B           0 B           0 B           0 B           480  
                                           aten::argmax         0.01%     996.068us         0.02%       1.501ms      15.630us     639.158us         0.01%     639.158us       6.658us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     639.158us         0.01%     639.158us       6.658us           0 B           0 B           0 B           0 B            96  
