-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         0.10%      12.821ms         0.10%      13.753ms       1.528ms       3.053ms         0.02%       6.694ms     743.757us           0 B           0 B       3.99 MB     -54.04 MB             9  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.426ms         0.02%       2.426ms      75.805us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.055ms         0.01%       1.055ms      32.980us           0 B           0 B           0 B           0 B            32  
                                            aten::index         0.02%       3.054ms         0.06%       7.535ms      33.342us     931.354us         0.01%       1.135ms       5.024us           0 B           0 B    1016.50 KB     960.00 KB           226  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     786.712us         0.01%     786.712us       1.392us           0 B           0 B           0 B           0 B           565  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us     761.147us         0.01%     761.147us      23.786us           0 B           0 B           0 B           0 B            32  
                                           aten::argmax         0.01%       1.218ms         0.01%       1.863ms      16.491us     752.998us         0.01%     752.998us       6.664us           0 B           0 B      56.50 KB      56.50 KB           113  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     752.998us         0.01%     752.998us       6.664us           0 B           0 B           0 B           0 B           113  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     699.651us         0.01%     699.651us       0.773us           0 B           0 B           0 B           0 B           905  
                                   cudaEventSynchronize        68.84%        9.190s        68.84%        9.190s      40.309ms     692.119us         0.01%     692.119us       3.036us           0 B           0 B           0 B           0 B           228  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     619.952us         0.00%     619.952us       5.486us           0 B           0 B           0 B           0 B           113  
                                           _C::rms_norm         0.01%     736.484us         0.01%       1.488ms      13.171us     336.456us         0.00%     336.456us       2.977us           0 B           0 B           0 B           0 B           113  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     336.456us         0.00%     336.456us       2.977us           0 B           0 B           0 B           0 B           113  
