-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     375.640ms       407.79%     375.640ms     375.640ms           0 B           0 B           0 B           0 B             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     103.703ms       112.58%     103.703ms     103.703ms           0 B           0 B           0 B           0 B             1  
                                      vllm::moe_forward         2.58%      12.445ms         3.95%      19.014ms     297.100us      86.262ms        93.64%      88.726ms       1.386ms           0 B           0 B      32.25 MB    -677.89 MB            64  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us      60.275ms        65.43%      60.275ms     941.792us           0 B           0 B           0 B           0 B            64  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      25.546ms        27.73%      25.546ms     399.162us           0 B           0 B           0 B           0 B            64  
                                               aten::mm         0.84%       4.042ms         1.25%       6.036ms      31.113us       4.481ms         4.86%       4.513ms      23.263us           0 B           0 B      80.83 MB      80.83 MB           194  
                                  Lazy Function Loading         0.10%     463.589us         0.10%     463.589us      35.661us       2.350ms         2.55%       2.350ms     180.761us           0 B           0 B           0 B           0 B            13  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.113ms         1.21%       1.113ms      34.777us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.056ms         1.15%       1.056ms      33.011us           0 B           0 B           0 B           0 B            32  
